               AR1sum    AR2sum    AR1max    AR2max    AR1xCe    AR2xCe    AR1yCe    AR2yCe
Sample_150   0.957728 -0.056103  0.722355 -0.068931 -0.016706 -0.003100 -0.002582  0.007961
Sample_151   0.685038  0.256104  0.070149  0.266653 -0.013142 -0.017324 -0.008533 -0.003261
Sample_152   0.713787  0.064223  0.221510  0.023022  0.009598 -0.003532  0.032066 -0.018191
Sample_153   0.477554  0.133592  0.251275  0.186703  0.008400 -0.011403  0.028768 -0.010198
Sample_154   0.578019  0.279656  0.588070 -0.163901 -0.003556 -0.022301 -0.003075 -0.002525
Sample_155   0.592325  0.093571  0.335084  0.257936 -0.013562 -0.007203  0.134272  0.013589
Sample_156   0.915302 -0.065374  0.901880 -0.261071 -0.047233 -0.014546  0.002130 -0.012464
Sample_157   0.670613  0.196383  0.152682  0.141820 -0.006670 -0.031241  0.091313  0.015115
Sample_158   0.366096  0.421345  0.663171 -0.093827 -0.022223 -0.024276 -0.002879  0.012281
Sample_159   0.894615 -0.061732  0.332665  0.061338 -0.019299 -0.022986  0.096607  0.101811
Sample_160   0.475570  0.293774  0.073311  0.284038 -0.039003 -0.025268  0.121731  0.069759
Sample_161   0.888312 -0.049880  0.361344  0.300876 -0.041585 -0.022595  0.168668  0.123488
Sample_162   0.621095  0.188209  0.142327  0.222914 -0.025441 -0.036316  0.123763  0.199339
Sample_163   0.625901  0.185722  0.194680  0.261127 -0.018314 -0.024057  0.192543  0.082669
Sample_164   0.596862  0.175940  0.138009  0.230633 -0.038366 -0.021259  0.133536  0.101580
Sample_165   0.628754  0.241571  0.440245  0.040313 -0.009288 -0.019813  0.147102  0.003533
Sample_166   0.995948 -0.073583  0.461350  0.326861 -0.005108 -0.016952  0.130972  0.277473
Sample_167   0.743373  0.071483  0.146827  0.304388  0.014529 -0.023556  0.054175  0.188521
Sample_168   0.810028 -0.092785  0.310241 -0.032949  0.002532 -0.010794  0.047860  0.101031
Sample_169   0.763065  0.077263  0.099890  0.327950 -0.036649 -0.002352  0.089934  0.003390
Sample_170   0.733369  0.105788  0.151527 -0.300415 -0.017686 -0.044454  0.182205  0.151458
Sample_171   0.748269  0.186848  0.533570  0.114118  0.005778 -0.029929  0.184919  0.175767
Sample_172   0.680227  0.127689  0.098867  0.105342 -0.043961 -0.063119  0.094149  0.087041
Sample_173   0.674680  0.213038  0.226976  0.114197 -0.033995 -0.018053  0.116965  0.087332
Sample_174   0.454250  0.398655  0.099243  0.100883 -0.011817 -0.033792  0.100436  0.181885
Sample_175   0.815962  0.004352  0.364285  0.235276 -0.013559 -0.015755  0.184688  0.176889
Sample_176   0.488840  0.396025  0.281719  0.117950 -0.038469 -0.027422  0.160543  0.129532
Sample_177   0.699967  0.202629  0.278923  0.264922 -0.003682 -0.043820  0.119171  0.148407
Sample_178   0.384664  0.394917  0.309185  0.183860  0.012332 -0.062794  0.142775  0.211552
Sample_179   0.991132 -0.117524  0.082159  0.336408  0.013254 -0.009068  0.095219  0.075174
Sample_180   0.906881 -0.025103  0.571244  0.191938  0.002050 -0.007504 -0.014337 -0.013931
Sample_181   0.545780  0.119583  0.280403  0.253806 -0.055266 -0.054213  0.182594  0.134317
Sample_182   0.601928  0.338950  0.315785  0.385178 -0.025904 -0.020555  0.020957 -0.008521
Sample_183   0.814658 -0.113838  0.275613  0.227381 -0.090161 -0.023052  0.302869 -0.031533
Sample_184   0.688324  0.118415  0.604894  0.087312  0.005671 -0.036985  0.102345  0.218600
Sample_185   0.555099  0.317368  0.351003  0.315990  0.013194  0.001494  0.105007  0.052128
