             0_Absolute energy  0_Area under the curve  0_Autocorrelation  0_Centroid  0_Entropy  0_Mean absolute diff  0_Mean diff  0_Median absolute diff  0_Median diff  0_Negative turning points  0_Neighbourhood peaks  0_Peak to peak distance  0_Positive turning points  0_Signal distance   0_Slope  0_Sum absolute diff  0_Total energy  0_Zero crossing rate
Sample_78         44635.374760               15.475259       44635.374760    0.264137   0.685889              0.499742    -0.370787                0.069526       0.000000                        4.0                    1.0                33.000000                        4.0         121.812449 -0.457940            44.477047    50152.106472                   1.0
Sample_79         50836.200293               16.562972       50836.200293    0.269327   0.685889              0.445614    -0.350000                0.031351       0.000000                        7.0                    1.0                31.379310                        8.0         119.625546 -0.482574            39.659647    57119.326172                   1.0
Sample_80         49006.636351               16.534919       49006.636351    0.268655   0.701395              0.418739    -0.368764                0.034261       0.000000                        7.0                    1.0                32.820000                        5.0         117.845265 -0.468918            37.267748    55063.636349                   1.0
Sample_81         44038.852355               14.969685       44038.852355    0.248271   0.648412              0.432740    -0.353558                0.027512       0.000000                       14.0                    2.0                31.466667                       13.0         119.284812 -0.481454            38.513901    49481.856579                   1.0
Sample_82         43213.032799               15.114027       43213.032799    0.262895   0.667759              0.449526    -0.337079                0.045798       0.000000                        7.0                    0.0                30.666667                        7.0         119.373394 -0.454806            40.007838    48553.969438                   1.0
Sample_83         44780.483380               15.098789       44780.483380    0.246351   0.641566              0.426389    -0.344944                0.016147       0.000000                       10.0                    1.0                31.827586                       13.0         118.691276 -0.487867            37.948594    50315.149865                   1.0
Sample_84         42421.046946               14.688107       42421.046946    0.253933   0.647120              0.448656    -0.344944                0.039865       0.000000                        9.0                    1.0                31.000000                       10.0         120.617525 -0.465476            39.930396    47664.097692                   1.0
Sample_85         44192.817158               15.136599       44192.817158    0.256370   0.656407              0.447106    -0.355209                0.017525       0.000000                        9.0                    1.0                31.782051                       11.0         120.738710 -0.470242            39.792438    49654.850740                   1.0
Sample_86         44719.061531               15.663703       44719.061531    0.277705   0.690255              0.436920    -0.340383                0.026114       0.000000                        8.0                    1.0                30.645161                       10.0         119.960202 -0.439128            38.885859    50246.136551                   1.0
Sample_87         41939.959329               14.590216       41939.959329    0.248978   0.651835              0.453676    -0.374157                0.050878       0.000000                        9.0                    2.0                33.300000                        9.0         120.119519 -0.468587            40.377201    47123.549807                   1.0
Sample_88         45616.062409               15.672254       45616.062409    0.260485   0.685889              0.424597    -0.350811                0.025817       0.000000                       10.0                    1.0                31.882353                       13.0         118.102325 -0.468194            37.789149    51254.002707                   1.0
Sample_89         44787.653011               15.096342       44787.653011    0.245692   0.651835              0.433255    -0.349064                0.015102       0.000000                       11.0                    1.0                31.187500                       12.0         119.871138 -0.488791            38.559683    50323.205630                   1.0
Sample_90         42622.297732               14.581134       42622.297732    0.243410   0.643775              0.442269    -0.342921                0.019528       0.000000                       10.0                    1.0                31.057143                       11.0         120.693305 -0.480960            39.361904    47890.222171                   1.0
Sample_91         49665.382135               16.365070       49665.382135    0.262986   0.689312              0.419583    -0.348315                0.040803       0.000000                       13.0                    1.0                31.054945                       12.0         117.834722 -0.485630            37.342891    55803.800152                   1.0
Sample_92         39249.846486               13.534799       39249.846486    0.224069   0.598681              0.472062    -0.358146                0.000000       0.000000                        5.0                    1.0                32.750000                        5.0         119.733186 -0.485302            42.013540    44100.951108                   1.0
Sample_93         38214.471624               13.230284       38214.471624    0.227274   0.586953              0.479773    -0.331598                0.000000       0.000000                        4.0                    1.0                30.853659                        5.0         120.696470 -0.476468            42.699809    42937.608566                   1.0
Sample_94         41388.732462               13.926450       41388.732462    0.226626   0.595258              0.474414    -0.351734                0.000000       0.000000                        8.0                    1.0                31.519481                        9.0         123.051450 -0.496505            42.222860    46504.193778                   1.0
Sample_95         40851.628807               13.820744       40851.628807    0.231399   0.608950              0.520584    -0.353212                0.029101       0.000000                        7.0                    1.0                33.000000                        8.0         124.215375 -0.487549            46.331959    45900.706525                   1.0
Sample_96         39646.500356               13.475534       39646.500356    0.229411   0.597223              0.560706    -0.362547                0.013072       0.000000                        6.0                    1.0                34.500000                        6.0         128.512481 -0.483425            49.902805    44546.629613                   1.0
Sample_97         41747.829074               13.992832       41747.829074    0.228682   0.605527              0.413408    -0.350089                0.012642       0.000000                       11.0                    0.0                31.157895                        9.0         118.695921 -0.496442            36.793350    46907.673117                   1.0
Sample_98         46501.305827               15.210029       46501.305827    0.255403   0.633505              0.559611    -0.362047                0.014229       0.000000                        8.0                    1.0                35.100000                        6.0         126.775163 -0.487186            49.805361    52248.658232                   1.0
Sample_99         41842.123119               14.150809       41842.123119    0.235631   0.617196              0.468681    -0.352060                0.038779       0.000000                        7.0                    1.0                31.397727                        7.0         121.545366 -0.487894            41.712574    47013.621482                   1.0
Sample_100        41712.479343               14.114106       41712.479343    0.246491   0.620619              0.586022    -0.316713                0.034012       0.000000                        3.0                    1.0                35.250000                        4.0         128.677854 -0.474154            52.155964    46867.954318                   1.0
Sample_101        43439.661082               14.565734       43439.661082    0.240973   0.632228              0.456293    -0.367041                0.018692       0.000000                        9.0                    1.0                32.666667                        9.0         121.385732 -0.489737            40.610057    48808.607957                   1.0
Sample_102        43836.515794               14.343593       43836.515794    0.235034   0.605527              0.495951    -0.350223                0.032567       0.000000                       11.0                    1.0                33.888889                       14.0         125.277369 -0.501384            44.139682    49254.512128                   1.0
Sample_103        42955.713616               14.314542       42955.713616    0.234007   0.610350              0.578364    -0.374157                0.011320       0.000000                        6.0                    1.0                36.166667                        8.0         130.395806 -0.495894            51.474420    48264.846760                   1.0
Sample_104        41731.224925               13.993616       41731.224925    0.226796   0.602104              0.427932    -0.335581                0.002564       0.000000                        8.0                    1.0                30.956522                        9.0         119.321780 -0.498492            38.085932    46889.016770                   1.0
Sample_105        41502.147222               14.086734       41502.147222    0.242700   0.617196              0.550607    -0.343499                0.033200       0.000000                        6.0                    1.0                34.727273                        6.0         126.894278 -0.477718            49.003982    46631.626092                   1.0
Sample_106        37432.966041               12.956078       37432.966041    0.222092   0.582015              0.449111    -0.348803                0.000000       0.000000                        4.0                    1.0                31.184615                        5.0         120.597854 -0.477912            39.970845    42059.512405                   1.0
Sample_107        39664.053217               13.475382       39664.053217    0.221658   0.590377              0.417645    -0.378277                0.000000       0.000000                        9.0                    1.0                33.666667                       10.0         118.959751 -0.492091            37.170447    44566.351930                   1.0
Sample_108        43431.885404               14.993608       43431.885404    0.266735   0.659830              0.516319    -0.330304                0.031773       0.000000                        4.0                    1.0                34.333333                        5.0         125.025879 -0.453524            45.952424    48799.871240                   1.0
Sample_109        41401.549132               13.926962       41401.549132    0.228890   0.608950              0.473935    -0.355506                0.004938       0.000000                        9.0                    1.0                32.300000                       10.0         123.511278 -0.494018            42.180177    46518.594530                   1.0
Sample_110        40508.058253               13.910031       40508.058253    0.247640   0.620619              0.569883    -0.316212                0.030543       0.000000                        4.0                    1.0                34.750000                        5.0         127.492063 -0.466027            50.719608    45514.672194                   1.0
Sample_111        36541.772681               12.938326       36541.772681    0.222378   0.597223              0.447476    -0.333817                0.009804       0.000000                       10.0                    1.0                30.339286                       11.0         118.209797 -0.471255            39.825390    41058.171551                   1.0
Sample_112        42050.704622               14.316823       42050.704622    0.235898   0.628805              0.446121    -0.376915                0.019618       0.000000                        9.0                    1.0                33.545455                       10.0         120.077264 -0.487443            39.704751    47247.982722                   1.0
Sample_113        46211.137219               15.773142       46211.137219    0.262877   0.675619              0.506403    -0.348315                0.027749       0.000000                       11.0                    2.0                32.078125                       11.0         124.498100 -0.467992            45.069891    51922.626089                   1.0
Sample_114        55465.980927               18.509891       55465.980927    0.319357   0.703576              0.512023    -0.348315                0.035425       0.000000                        6.0                    1.0                33.629630                        5.0         124.498877 -0.400791            45.570090    62321.326884                   1.0
Sample_115        61639.360988               20.895470       61639.360988    0.356230   0.750864              0.473920    -0.352454                0.013331       0.000000                        7.0                    1.0                32.600000                        7.0         123.698957 -0.309760            42.178904    69257.708976                   1.0
Sample_116        48503.107365               16.447999       48503.107365    0.275105   0.654808              0.490277    -0.350187                0.010337       0.000000                        9.0                    1.0                32.705882                        9.0         123.708354 -0.457538            43.634641    54497.873443                   1.0
Sample_117        42368.711937               14.233427       42368.711937    0.236188   0.620619              0.484892    -0.359551                0.012671       0.000000                        9.0                    2.0                32.439024                        9.0         123.904203 -0.490048            43.155406    47605.294311                   1.0
Sample_118        44020.207608               14.940694       44020.207608    0.253390   0.655258              0.517311    -0.370787                0.036946       0.000000                        4.0                    1.0                33.000000                        5.0         124.600609 -0.474519            46.040672    49460.907425                   1.0
Sample_119        47216.816859               16.674413       47216.816859    0.293512   0.696702              0.415727    -0.332665                0.013733       0.000000                        4.0                    1.0                30.892308                        7.0         118.780189 -0.417325            36.999723    53052.603213                   1.0
Sample_120        65720.675162               22.301855       65720.675162    0.381334   0.783414              0.474499    -0.370251                0.021941       0.000000                       10.0                    1.0                32.952381                       11.0         123.194145 -0.237832            42.230421    73843.455238                   1.0
Sample_121        53498.666763               18.011620       53498.666763    0.293944   0.725115              0.508694    -0.371750                0.034311       0.000000                        7.0                    1.0                33.085714                        8.0         124.423789 -0.435020            45.273775    60110.861532                   1.0
Sample_122        52485.288541               17.998030       52485.288541    0.304671   0.773422              0.500505    -0.369031                0.057116       0.000000                        9.0                    2.0                32.843750                        8.0         122.706617 -0.411332            44.544918    58972.234316                   1.0
Sample_123        41447.199466               14.057542       41447.199466    0.221889   0.613773              0.370273    -0.366774                0.010189       0.000000                        3.0                    0.0                32.642857                        3.0         114.241884 -0.501237            32.954321    46569.887040                   1.0
