             0_Absolute energy  0_Area under the curve  0_Autocorrelation  0_Centroid  0_Entropy  0_Mean absolute diff  0_Mean diff  0_Median absolute diff  0_Median diff  0_Negative turning points  0_Neighbourhood peaks  0_Peak to peak distance  0_Positive turning points  0_Signal distance   0_Slope  0_Sum absolute diff  0_Total energy  0_Zero crossing rate
Sample_109            908923.0                  62.475           908923.0    0.230325   0.561866              6.483146    -1.831461                     1.0            0.0                        8.0                    1.0                    208.0                       10.0         625.038967 -2.262279                577.0    1.021262e+06                   1.0
Sample_110           4122778.0                 131.185          4122778.0    0.276057   0.554956             13.202247    -0.707865                     0.0            0.0                        4.0                    1.0                    399.0                        5.0        1225.503707 -3.983636               1175.0    4.632335e+06                   1.0
Sample_111            360911.0                  39.540           360911.0    0.247070   0.555693              3.123596    -0.966292                     0.0            0.0                        1.0                    1.0                    126.0                        2.0         331.643972 -1.362497                278.0    4.055180e+05                   1.0
Sample_112           3701950.0                 122.730          3701950.0    0.310348   0.595413             12.494382    -1.280899                     1.0            0.0                        3.0                    1.0                    452.0                        2.0        1158.454722 -3.461185               1112.0    4.159494e+06                   1.0
Sample_113           8968475.0                 211.580          8968475.0    0.328166   0.618652              9.550562    -1.955056                     0.0            0.0                        2.0                    0.0                    500.0                        2.0         902.327791 -4.894621                850.0    1.007694e+07                   1.0
Sample_114           1650084.0                  99.060          1650084.0    0.309666   0.647426              6.426966    -1.438202                     0.0            0.0                        6.0                    1.0                    226.0                        6.0         621.919989 -2.247207                572.0    1.854027e+06                   1.0
Sample_115           2752545.0                 134.440          2752545.0    0.395700   0.701170              6.831461    -1.550562                     2.0            0.0                        5.0                    2.0                    330.0                        5.0         654.797858 -1.672083                608.0    3.092747e+06                   1.0
Sample_116           9268139.0                 214.555          9268139.0    0.198276   0.440667              9.651685    -5.606742                     0.0            0.0                        4.0                    0.0                    499.0                        3.0         924.253566 -7.600617                859.0    1.041364e+07                   1.0
Sample_117           7990154.0                 187.250          7990154.0    0.223152   0.481883             16.292135    -0.921348                     0.0            0.0                        4.0                    1.0                    500.0                        4.0        1510.127601 -6.613541               1450.0    8.977701e+06                   1.0
Sample_118           4535775.0                 142.035          4535775.0    0.282117   0.613557             11.853933    -1.831461                     2.0            0.0                        3.0                    1.0                    500.0                        2.0        1100.582242 -4.321381               1055.0    5.096376e+06                   1.0
Sample_119           5128922.0                 166.140          5128922.0    0.344577   0.676164             10.921348    -1.932584                     2.0            0.0                        7.0                    1.0                    473.0                        8.0        1016.743021 -3.450582                972.0    5.762834e+06                   1.0
Sample_120          15330939.0                 330.850         15330939.0    0.343395   0.429052             12.674157    -1.573034                     0.0            0.0                        5.0                    0.0                    500.0                        3.0        1199.270537 -4.644417               1128.0    1.722577e+07                   1.0
Sample_121           7367889.0                 198.645          7367889.0    0.235912   0.614408             10.325843    -4.325843                     0.0            0.0                        6.0                    0.0                    500.0                        5.0         973.308515 -6.200510                919.0    8.278527e+06                   1.0
Sample_122           8842832.0                 219.370          8842832.0    0.231249   0.670034             11.820225    -4.292135                     0.0            0.0                        5.0                    1.0                    500.0                        4.0        1099.718037 -6.820990               1052.0    9.935766e+06                   1.0
Sample_123           1955717.0                  93.080          1955717.0    0.208449   0.598789              6.202247    -2.449438                     1.0            0.0                        4.0                    1.0                    252.0                        3.0         599.601958 -3.509758                552.0    2.197435e+06                   1.0
