             0_Absolute energy  0_Area under the curve  0_Autocorrelation  0_Centroid  0_Entropy  0_Mean absolute diff  0_Mean diff  0_Median absolute diff  0_Median diff  0_Negative turning points  0_Neighbourhood peaks  0_Peak to peak distance  0_Positive turning points  0_Signal distance   0_Slope  0_Sum absolute diff  0_Total energy  0_Zero crossing rate
Sample_66         92006.414591               21.187474       92006.414591    0.179611   0.689312              0.748404    -0.728652                0.234110      -0.187237                        2.0                    0.0                64.850000                        3.0         132.459748 -0.785175            66.607940   103377.993923                   1.0
Sample_67         81406.179158               20.029492       81406.179158    0.174247   0.708241              0.736542    -0.719101                0.209640      -0.169988                        5.0                    0.0                64.000000                        4.0         130.718870 -0.734540            65.552264    91467.617032                   1.0
Sample_68         78709.252027               19.127914       78709.252027    0.179502   0.636928              0.671616    -0.670522                0.163121      -0.163121                        1.0                    0.0                59.676471                        1.0         128.205246 -0.739138            59.773839    88437.361828                   1.0
Sample_69         74642.946626               18.438743       74642.946626    0.177956   0.625382              0.650804    -0.650804                0.119765      -0.119765                        0.0                    0.0                57.921569                        0.0         126.418073 -0.726392            57.921569    83868.479355                   1.0
Sample_70         80676.196884               19.902623       80676.196884    0.189147   0.667759              0.650220    -0.650220                0.181461      -0.181461                        0.0                    0.0                57.869565                        0.0         126.035359 -0.730695            57.869565    90647.412229                   1.0
Sample_71         77379.059821               19.590968       77379.059821    0.187719   0.685889              0.665183    -0.656679                0.208000      -0.204308                        2.0                    0.0                58.444444                        2.0         127.088198 -0.710556            59.201303    86942.763843                   1.0
Sample_72         78278.385044               19.297297       78278.385044    0.173398   0.674605              0.654552    -0.650348                0.316377      -0.316377                        2.0                    0.0                57.880952                        2.0         123.420220 -0.739287            58.255134    87953.241622                   1.0
Sample_73         80565.231405               20.193798       80565.231405    0.182123   0.715883              0.669659    -0.668539                0.236563      -0.236563                        2.0                    0.0                59.500000                        2.0         124.675648 -0.725521            59.599645    90522.731915                   1.0
Sample_74         73663.035654               18.411768       73663.035654    0.168742   0.644989              0.661193    -0.661193                0.155069      -0.155069                        0.0                    0.0                58.846154                        0.0         124.477973 -0.725141            58.846154    82767.455791                   1.0
Sample_75         77148.817055               19.017621       77148.817055    0.177219   0.651835              0.661677    -0.646484                0.234834      -0.231444                        3.0                    0.0                57.537037                        3.0         125.635980 -0.733492            58.889277    86684.064107                   1.0
Sample_76         83602.308364               20.129444       83602.308364    0.184555   0.664336              0.670795    -0.646067                0.177638      -0.122058                        2.0                    0.0                57.500000                        2.0         127.020934 -0.753202            59.700723    93935.177937                   1.0
Sample_77         85450.655830               20.240352       85450.655830    0.183977   0.663254              0.659374    -0.656742                0.107575      -0.106215                        1.0                    0.0                58.450000                        1.0         125.591155 -0.764482            58.684312    96011.972843                   1.0
Sample_78         92746.832797               21.213563       92746.832797    0.178474   0.685889              0.680971    -0.680899                0.357071      -0.357071                        1.0                    0.0                60.600000                        1.0         123.911368 -0.798855            60.606436   104209.924491                   1.0
Sample_79         79742.508236               19.383741       79742.508236    0.164922   0.685889              0.688382    -0.679213                0.166667      -0.166667                        5.0                    0.0                60.450000                        4.0         127.012502 -0.747034            61.265989    89598.323861                   1.0
Sample_80         87300.725157               21.133037       87300.725157    0.193279   0.701395              0.658427    -0.658427                0.279775      -0.279775                        0.0                    0.0                58.600000                        0.0         123.919594 -0.747361            58.600000    98090.702423                   1.0
Sample_81         73676.221517               18.387601       73676.221517    0.167357   0.648412              0.675655    -0.675655                0.184982      -0.184982                        0.0                    0.0                60.133333                        0.0         126.349953 -0.724562            60.133333    82782.271368                   1.0
Sample_82         84491.319314               20.213215       84491.319314    0.181244   0.667759              0.659236    -0.651685                0.234043      -0.231212                        1.0                    0.0                58.234043                        2.0         125.192396 -0.759805            58.672007    94934.066645                   1.0
Sample_83         82686.899776               19.581124       82686.899776    0.171945   0.641566              0.681201    -0.678652                0.069767      -0.065472                        2.0                    0.0                60.400000                        2.0         127.433775 -0.765313            60.626877    92906.628962                   1.0
Sample_84         79350.330490               19.220067       79350.330490    0.174530   0.651835              0.654775    -0.654775                0.223790      -0.223790                        0.0                    0.0                58.275000                        0.0         124.371225 -0.748700            58.275000    89157.674708                   1.0
Sample_85         73989.909821               18.649520       73989.909821    0.173536   0.656407              0.665353    -0.662155                0.240485      -0.240485                        2.0                    0.0                58.931818                        2.0         125.267137 -0.719823            59.216433    83134.730135                   1.0
Sample_86         74112.362216               19.334845       74112.362216    0.192458   0.690255              0.641551    -0.641551                0.156618      -0.156618                        0.0                    0.0                57.098039                        0.0         124.501215 -0.691400            57.098039    83272.317096                   1.0
Sample_87         87477.972354               20.342621       87477.972354    0.182140   0.651835              0.710064    -0.630337                0.193555      -0.061033                        3.0                    0.0                58.921875                        4.0         129.310640 -0.777670            63.195683    98289.856577                   1.0
Sample_88         75203.344191               19.124010       75203.344191    0.179360   0.685889              0.680816    -0.679151                0.251866      -0.251866                        1.0                    0.0                60.444444                        1.0         126.133746 -0.714238            60.592593    84498.139540                   1.0
Sample_89         83848.069103               19.796876       83848.069103    0.176591   0.655258              0.666039    -0.652185                0.192652      -0.181264                        5.0                    0.0                58.044444                        4.0         126.588124 -0.766627            59.277472    94211.313598                   1.0
Sample_90         80483.023157               19.181581       80483.023157    0.171125   0.643775              0.692216    -0.681798                0.256052      -0.205870                        1.0                    0.0                60.680000                        1.0         126.983643 -0.757625            61.607218    90430.363097                   1.0
Sample_91         77691.053451               19.303132       77691.053451    0.171803   0.689312              0.713708    -0.680578                0.196443      -0.078540                        3.0                    0.0                60.571429                        4.0         129.096500 -0.728516            63.519994    87293.318484                   1.0
Sample_92         79036.478645               18.587096       79036.478645    0.168378   0.598681              0.703245    -0.692416                0.000000       0.000000                        3.0                    0.0                61.625000                        2.0         131.059533 -0.759003            62.588822    88805.032185                   1.0
Sample_93         76536.517927               17.972339       76536.517927    0.158271   0.586953              0.637456    -0.636065                0.000000       0.000000                        1.0                    0.0                56.609756                        1.0         125.386317 -0.759680            56.733566    85996.087558                   1.0
Sample_94         81932.264045               18.814974       81932.264045    0.163352   0.595258              0.712904    -0.670738                0.000000       0.000000                        2.0                    0.0                59.695652                        2.0         132.181472 -0.778244            63.448499    92058.723646                   1.0
